night|夜
potato|土豆
tomato|西红柿
soup|汤
sandwiches|三明治
fruit|果实
vegetable|蔬菜
never|从来不
pets|宠物
eats|吃
drinks|饮料
wants|想让
egg|鸡蛋
mice|老鼠
noodles|面条
bread|面包
want|想让
some|某个
likes|喜欢
rice|米饭
eat|吃
link|串起
breakfast|早饭
every day|每天
apple|苹果
use|用
the internet|互联网
city|城市
in|里面
Sunday|周日
sun|阳光
Monday|周一
Tuesday|周二
on|用
university|大学
teach|教
at work|在工作时
study|调研
tonight|今天晚上
beach|海滩
lot|很多
rank|伍
a lot of|很多
job|工作
bank|银行
meeting|会晤
office|處
nice to meet you|很高兴认识你
my name is|我名字叫
what do you do|你是做什么工作的
together|一起
work|某项
hospital|医院
stand|时站
game|游戏
email|电子邮件
understand|会得
name|取名
pet|宠物
phone number|电话号码
sorry|抱歉
no problem|没问题
address|地址
know|知道
cut|划伤
spanish|西班牙的
but|但别
year|1年
don't|并不
language|文
do not|不
live in|住在
japan|日本
country|国家
do|干上
bad|坏的
sunny|阳光灿烂
funny|有意思的
they're|他们是
that|那门
little|点
love|love
busy|忙碌的
dad|父亲
mom|我妈
ok|好起来
always|总是
family|家庭
happy|很乐意
best|最棒的
friends|guys
here|这里
where|哪里
person|者
friendly|友好
parent|父母
favorite|最喜欢的
color|颜色
beautiful|美妙
orange|橘子
dress|连衣裙
too|时太
really|真的
song|歌
pants|皮裤
shoes|鞋子
one hundred|一百
shoe|鞋子
cell phone|手机
very|蛮
very much|非常
that's|那是
you're welcome|不客气
key|键
bar|bars
old|旧得
except|除
car|车厢
important|重要的
cool|酷
exact|精确的
questions|题目
question|问题
many|多家
school|学校
pass|关卡
class|舱
glass|玻璃杯
difficult|很难的
that is|那是
has|家有
exam|考试
exams|考试
easy|简易
today|今天
have|进行
an|一辆
these|这几
cups of|杯
beers|啤酒
pizzas|比萨
of|给
cheers|干杯
beer|啤酒
goodbye|再见
with|用
would|将要
milk|牛奶
a cup of|一杯
sugar|糖
pizza|比萨
would like|想
this is|这是
thank you|谢谢
welcome to|欢迎到
restaurant|餐厅
table|桌子
for two|两人用
check|查
menu|菜单
for|为贵
for one|单人用
how old|多大
daughter|女儿
five|五
years old|岁
dear|亲密
four|四
son|儿子
smart|聪明
life|人生
rich|有钱
tall|个子高
wife|妻子
husband|丈夫
his|他的
girlfriend|女朋友
brother|弟弟
boyfriend|男朋友
sister|姐姐
he's|他
her|她的
three|三
lots|很多
coats|外套
two|二
shirts|衬衫
hats|帽子
how much|多少
ten|十
one|一
dollars|美元
much|大
dollar|美元
sat|坐
hat|帽子
expensive|贵
jacket|夹克
need|需要
welcome|迎来
bird|鸟儿
shirt|衬衫
friend|朋友
taxi driver|出租车司机
lock|锁上
doctor|医生
oh|哎
bath|泡澡
math|数学
chicken|鸡
cheese|芝士
i'd like|我想要
chair|皮椅
pay|交
afternoon|下午
have a nice day|祝你有美好的一天
would you like|你想要
sandwich|三明治
morning|早辰
pork|夹猪肉的
salad|沙拉
bye|拜
hi|嗨
please|谢谢
sea|海边
a little|点
speak|讲个
good|挺不错
chinese|汉
land|地落
meat|夹肉
from|离开
nice|亲切
new|新来的
anna|安娜
at|in
excuse me|打扰一下
wall|墙壁
camera|照相机
not|不
wallet|钱包
no|不
watch|照
coat|外套
road|道路
thanks|谢谢
this|这只
by|不迟于
bag|皮包
look|毛色
yes|没错
he|他
she|她
woman|女人
are|都
man|男人
good evening|晚上好
good morning|早上好
a|一辆
hello|嗨
am|排是
girl|女孩子
boy|男孩子
short|矮的
winter|冬天
is|排是
fall|秋天
spring|春天
summer|夏天
long|長
hot|热
less|少点
or|或
cold|冷
more|more
coffee|咖啡
juice|果汁
water|水
drink|饮品
tea|茶
we|我们
our|我们的
they|他们
their|他们的
black|黑色
blue|蓝色
white|白色
red|红色
green|绿色
computer|电脑
room|厅
phone|手机
big|上大
house|房子
small|细小
dog|狗
cat|猫
father|爸
and|于是
mother|我妈
my|我的
teacher|教员
student|学生
your|你的
book|书
Chinese|中文
I|我
English|英文
like|喜欢
you|你
